Date,AAPL,ADM,DE,GS,JPM,MSFT,NVDA
2004-01-02,0.3191046714782715,9.039737701416016,21.109159469604492,69.35651397705078,20.30803108215332,16.916284561157227,0.17633748054504395
2004-01-05,0.3324509263038635,9.1226224899292,21.138708114624023,69.39216613769531,20.26922607421875,17.341501235961914,0.18206772208213806
2004-01-06,0.3312508761882782,9.146295547485352,20.551061630249023,68.97804260253906,20.7794132232666,17.40313148498535,0.18947938084602356
2004-01-07,0.3387489914894104,9.027896881103516,21.076322555541992,70.4275894165039,21.084423065185547,17.3846492767334,0.19116003811359406
2004-01-08,0.3502955436706543,8.998298645019531,20.925312042236328,70.51326751708984,21.444889068603516,17.35382843017578,0.19184763729572296
2004-01-09,0.34489676356315613,8.868058204650879,20.82354736328125,69.62067413330078,21.494802474975586,17.04570198059082,0.19459812343120575
2004-01-12,0.3558436930179596,8.850303649902344,21.256885528564453,69.82062530517578,21.511436462402344,16.990243911743164,0.19681411981582642
2004-01-13,0.36169180274009705,8.909500122070312,21.394775390625,69.74208068847656,21.572437286376953,16.90395736694336,0.18665190041065216
2004-01-14,0.3628917336463928,9.0871000289917,21.539220809936523,70.96311950683594,21.74990463256836,17.070350646972656,0.18527665734291077
2004-01-15,0.342647910118103,9.116697311401367,21.677106857299805,72.21986389160156,21.583534240722656,16.971757888793945,0.18558289110660553
2004-01-16,0.34069791436195374,9.0871000289917,21.292997360229492,71.74858856201172,21.777626037597656,17.13813591003418,0.1884094774723053
2004-01-20,0.34084826707839966,9.146295547485352,21.217496871948242,71.69145202636719,21.67780113220215,17.316858291625977,0.19368129968643188
2004-01-21,0.33904868364334106,9.252859115600586,21.62458610534668,72.47692108154297,22.2379093170166,17.440105438232422,0.18474213778972626
2004-01-22,0.33260035514831543,9.282454490661621,21.79857635498047,71.89141082763672,22.14917755126953,17.261394500732422,0.1804632842540741
2004-01-23,0.33829882740974426,9.27653980255127,21.775590896606445,71.22569274902344,21.96062660217285,17.5510311126709,0.17641453444957733
2004-01-26,0.3450470268726349,9.252859115600586,21.995555877685547,73.21569061279297,22.326641082763672,17.748233795166016,0.18336686491966248
2004-01-27,0.3459465205669403,9.359419822692871,21.63442611694336,72.33519744873047,22.199077606201172,17.40928840637207,0.17289936542510986
2004-01-28,0.33769920468330383,9.424534797668457,20.964712142944336,70.36666870117188,21.694435119628906,17.076513290405273,0.17244096100330353
2004-01-29,0.34009847044944763,9.288376808166504,20.39019775390625,71.15408325195312,21.655614852905273,17.199764251708984,0.1673983782529831
2004-01-30,0.33829882740974426,9.270612716674805,20.551061630249023,71.26148223876953,21.5668888092041,17.03953742980957,0.1699966937303543
2004-02-02,0.334699809551239,9.383094787597656,20.51167106628418,71.44758605957031,21.63344955444336,16.885480880737305,0.1727471798658371
2004-02-03,0.333800345659256,9.649494171142578,20.337675094604492,72.40682983398438,21.69998550415039,16.81768798828125,0.17213565111160278
2004-02-04,0.32675233483314514,9.827091217041016,20.02251434326172,71.4046401977539,21.583534240722656,16.645137786865234,0.1674754023551941
2004-02-05,0.3361995220184326,10.15860652923584,20.150550842285156,70.75320434570312,21.6057071685791,16.614322662353516,0.1699966937303543
2004-02-06,0.3405485153198242,10.182286262512207,20.357372283935547,72.54281616210938,22.0327205657959,16.688270568847656,0.17389322817325592
2004-02-09,0.3399481475353241,10.02837085723877,20.038928985595703,72.92218780517578,21.910720825195312,16.57733917236328,0.1726701408624649
2004-02-10,0.34459689259529114,9.975091934204102,20.058618545532227,73.14410400390625,21.894081115722656,16.65130043029785,0.1790119707584381
2004-02-11,0.3568934202194214,10.049421310424805,21.174816131591797,76.65885925292969,22.33217430114746,16.731416702270508,0.18527665734291077
2004-02-12,0.3558436930179596,10.001848220825195,21.260173797607422,76.88075256347656,22.3820858001709,16.608158111572266,0.1796995848417282
2004-02-13,0.34489676356315613,10.049421310424805,21.01396369934082,75.77120971679688,22.271181106567383,16.386306762695312,0.1780189871788025
2004-02-17,0.3472959101200104,10.418100357055664,21.995555877685547,76.53719329833984,22.5484676361084,16.632810592651367,0.18000485002994537
2004-02-18,0.34879568219184875,10.459721565246582,21.880643844604492,76.52284240722656,22.448644638061523,16.49723243713379,0.18000485002994537
2004-02-19,0.33694934844970703,10.275388717651367,21.742759704589844,75.71391296386719,22.637189865112305,16.306188583374023,0.1799287050962448
2004-02-20,0.33589968085289,10.204024314880371,21.444021224975586,76.2508544921875,22.498554229736328,16.37398338317871,0.1844368427991867
2004-02-23,0.33275067806243896,10.364581108093262,21.467004776000977,76.35822296142578,22.354372024536133,16.398632049560547,0.1780189871788025
2004-02-24,0.33530014753341675,10.12077522277832,21.204360961914062,74.67598724365234,22.293365478515625,16.565017700195312,0.17091351747512817
2004-02-25,0.34204742312431335,10.132670402526855,21.31598472595215,75.74978637695312,22.376550674438477,16.454092025756836,0.17190641164779663
2004-02-26,0.34549713134765625,10.21591854095459,21.56876564025879,76.0862045288086,22.49301528930664,16.330835342407227,0.17305253446102142
2004-02-27,0.35869306325912476,10.22780990600586,21.086185455322266,75.78551483154297,22.748111724853516,16.349334716796875,0.1699966937303543
2004-03-01,0.36019274592399597,10.293221473693848,21.44072914123535,76.844970703125,23.030929565429688,16.454092025756836,0.17251800000667572
2004-03-02,0.3570438027381897,10.245650291442871,21.322542190551758,76.16490173339844,23.108564376831055,16.2630558013916,0.16930904984474182
2004-03-03,0.35869306325912476,10.29916763305664,21.358654022216797,76.24370574951172,23.34703254699707,16.250720977783203,0.16709303855895996
